,data_type,model_type,r^2,times_better_than_random,nutrient,leverage,feature,importance
162,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,ecoreg,
163,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,ecoreg,
164,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,ecoreg,0.011573279983636777
165,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,ecoreg,0.3219522553535464
166,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,ecoreg,0.12709482812918302
167,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,ecoreg,0.027887108853623617
168,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,ecoreg,0.011461626262705213
169,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,ecoreg,0.2642324670949737
170,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,ecoreg,0.12693383534730174
171,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,ecoreg,0.025823845693245803
172,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,ecoreg,0.00234505877788555
173,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,ecoreg,0.3205335398159936
174,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,ecoreg,0.09493163156905272
175,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,ecoreg,0.015425070899058303
176,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,ecoreg,
177,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,ecoreg,
178,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,ecoreg,
179,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,ecoreg,
180,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,ecoreg,0.04080731677493126
181,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,ecoreg,0.0003839049436094208
182,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,ecoreg,0.013646674845784905
183,lake,GBR,0.9145469034696276,4.594181149121052,tp,leverage,ecoreg,0.02577852183148943
184,lake,RFR,0.30510342971992344,6.4246317671914825,doc,leverage,ecoreg,0.06256383649177888
185,lake,RFR,0.5804064271241041,13.403264621582432,no3,leverage,ecoreg,0.0024293378955201786
186,lake,RFR,0.5185615031152988,9.660285089441627,tn,leverage,ecoreg,0.07301872203509803
187,lake,RFR,0.9637725050867276,36.388539369550216,tp,leverage,ecoreg,0.04585026404911837
188,lake,DTR,0.3049620078308919,5.870332921037273,doc,leverage,ecoreg,0.048091917530198015
189,lake,DTR,0.5326869074304269,13.655781696913193,no3,leverage,ecoreg,0.00013662227467303164
190,lake,DTR,0.5659804654319438,10.281163270023512,tn,leverage,ecoreg,0.034670578024996256
191,lake,DTR,0.8673048927183769,27.93950027251591,tp,leverage,ecoreg,0.05560847678770532
192,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,elev,
193,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,elev,
194,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,elev,
195,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,elev,
196,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,elev,0.23580103803012764
197,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,elev,0.19075827627869515
198,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,elev,0.1875242657377176
199,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,elev,0.12541515369368544
200,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,elev,0.14980058035286886
201,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,elev,0.15878154435555505
202,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,elev,0.06089021693029036
203,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,elev,0.11187585767447612
